time (s),X (pixels),Y (pixels),R (pixels),Theta (°)
120.774950699997,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.808385600001,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.841787500001,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.875038699989,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.908483699997,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.941844399989,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
120.97515459999,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
121.0085846,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
121.04191819999,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
121.075366599995,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
121.108855699989,914.668491762973,67.4474411167425,917.151899707539,4.21734445046161
121.141610099992,913.668491762973,67.4474411167425,916.154610398061,4.22194360570274
121.1739753,891.668491762973,71.4474411167425,894.526375265137,4.58119743893899
121.206753099992,823.668491762973,72.4474411167425,826.848484335222,5.02663096687092
121.240966799989,703.668491762973,69.4474411167425,707.087189374578,5.63646255646153
121.274822199994,609.668491762973,68.4474411167425,613.498754720797,6.40576931416571
121.307235499989,567.668491762973,66.4474411167425,571.544205614414,6.67627615755802
121.3403234,542.668491762973,68.4474411167425,546.968138146757,7.18882465805409
121.37368959999,520.668491762973,68.4474411167425,525.148293827714,7.48919740892534
121.407199299996,498.668491762973,68.4474411167425,503.344133642767,7.81560324027529
121.440195899995,477.668491762973,68.4474411167425,482.547655904102,8.154678776587
121.47402709999,442.668491762973,72.4474411167425,448.557716825905,9.29466734394954
121.50883929999,411.668491762973,79.4474411167425,419.264645552662,10.9231595589273
121.542095699988,383.668491762973,86.4474411167425,393.287009253175,12.6977278189645
121.575692300001,373.668491762973,87.4474411167425,383.764506819327,13.1715522907813
121.608752499989,364.668491762973,89.4474411167425,375.478299781778,13.7816643071719
121.64249849999,343.668491762973,89.4474411167425,355.118116903334,14.5888371504067
121.675578900002,331.668491762973,91.4474411167425,344.044507171856,15.4145653584733
121.709013799991,313.668491762973,91.4474411167425,326.727037772601,16.2536050645234
121.742559799997,302.668491762973,91.4474411167425,316.181673081905,16.8115251157497
121.775466599996,285.668491762973,87.4474411167425,298.75331319334,17.0201410251186
121.809134399999,270.668491762973,81.4474411167425,282.657244905748,16.7471799394853
121.842344799996,266.668491762973,76.4474411167425,277.409977744919,15.9963234015039
121.875721999997,237.668491762973,54.4474411167425,243.825420785134,12.9032273959314
121.908972999998,220.668491762973,43.4474411167425,224.905009718632,11.1384994768306
121.942492599992,208.668491762973,35.4474411167425,211.657885599282,9.64105262982894
121.975698499999,193.668491762973,28.4474411167425,195.746626044576,8.35626613491899
122.009021299993,178.668491762973,22.4474411167425,180.073089498529,7.16097084973242
122.042522499993,159.668491762973,18.4474411167425,160.730629768001,6.59049796140411
122.075956999994,142.668491762973,15.4474411167425,143.502341371062,6.17963069895742
122.108647799992,130.668491762973,14.4474411167425,131.464760656352,6.30931598055351
122.141125499998,114.668491762973,8.44744111674254,114.979225361001,4.21327594581826
122.175872599997,93.668491762973,4.44744111674254,93.7740160259601,2.71839943123665
122.208322299994,79.668491762973,0.447441116742541,79.6697482319346,0.32178615987234
122.2415913,61.668491762973,-1.55255888325746,61.6880321894437,-1.44216733811478
122.275016499989,50.668491762973,-0.552558883257459,50.6715046042046,-0.62480717070668
122.308359099989,42.668491762973,-0.552558883257458,42.67206944415,-0.741941442504334
122.341688299988,27.668491762973,-0.552558883257456,27.6740087041464,-1.14408419314874
122.375286900002,16.668491762973,1.44744111674254,16.7312194247381,4.96294156301695
122.409652599992,13.668491762973,1.44744111674254,13.7449173464556,6.04487582830409
122.442997299993,9.66849176297296,1.44744111674254,9.77623745400616,8.51434792932075
122.476377399988,8.66849176297296,2.44744111674254,9.00737017473203,15.7663681911907
122.508291999999,7.66849176297296,2.44744111674254,8.04957973677547,17.700767705149
122.541285799991,5.66849176297296,2.44744111674255,6.17428270221038,23.3528668549392
122.5746029,2.66849176297296,2.44744111674255,3.62088612206688,42.52588699414
122.607981499998,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.641257199997,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.6752137,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.709967199989,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.743307600002,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.776479699998,0.668491762972963,4.44744111674255,4.49740077423114,81.4519035296261
122.809689699992,-6.33150823702704,7.44744111674255,9.77508955165571,130.369821179643
122.843822800001,-43.331508237027,25.4474411167425,50.2512872022759,149.575418069932
122.878874799993,-155.331508237027,59.4474411167425,166.3185969954,159.057484598722
122.90912869999,-220.331508237027,76.4474411167425,233.217033630267,160.864987975068
122.942357399996,-231.331508237027,83.4474411167425,245.92222781227,160.164274665247
122.974902899994,-232.331508237027,86.4474411167425,247.893303248241,159.590440403651
123.008186499996,-235.331508237027,88.4474411167425,251.403795932388,159.401676254713
123.041943699995,-235.331508237027,90.4474411167425,252.114375579181,158.976207906742
123.075737599997,-239.331508237027,90.4474411167425,255.85212611893,159.29756992424
123.110218299989,-245.331508237027,93.4474411167425,262.526138098898,159.14802628928
123.143584799996,-245.331508237027,93.4474411167425,262.526138098898,159.14802628928
123.1769795,-245.331508237027,93.4474411167425,262.526138098898,159.14802628928
123.21029789999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.243649600001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.277046299991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.311408199996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.343747499996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.377001399989,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.410459799998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.44382439999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.477179499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.510741999999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.543802100001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.577226099995,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.610665699991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.6437535,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.676258699998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.708891099988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.742280999999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.775602599999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.808716899992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.843006399999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.877490999992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.9111118,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.942760399994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
123.977353999988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.010989799994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.044343799993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.07764019999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.111271000002,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.1443478,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.177745599998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.211127699993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.244504399991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.277815299996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.312807800001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.344523699998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.377889299998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.41125379999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.444640499991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.478018499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.513198999994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.544535499997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.578096999991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.6114351,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.644758499999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.678140499993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.7115146,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.744853600001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.778273599994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.811623999994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.84467359999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.876843299993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
